"Voksne 1. januar efter tid, alder, område og antal personer i husstand "

" "," "," ","1 person","2 personer","3 personer","4 personer","5 personer","6 personer og derover"
"2020"
" ","Under 20 år"
" "," ","Sorø",886,2027,998,568,179,86
" "," ","Stevns",610,1625,720,436,135,103
" "," ","Vordingborg",1513,2987,1350,762,237,122
" "," ","Assens",1122,2934,1324,731,220,98
" "," ","Faaborg-Midtfyn",1394,3552,1601,884,242,142
" "," ","Kerteminde",670,1790,792,397,89,65
" "," ","Langeland",469,883,347,128,53,25
" "," ","Middelfart",1034,2755,1324,717,183,55
" "," ","Nordfyns",794,2098,917,511,167,73
" "," ","Nyborg",955,2102,1019,543,146,56
" "," ","Odense",5811,9715,4909,2831,826,472
" "," ","Svendborg",1759,3590,1714,913,239,127
" "," ","Ærø",254,490,148,56,20,8
" "," ","Billund",659,1802,773,456,121,59
" "," ","Esbjerg",3436,7438,3077,1651,422,203
" "," ","Fanø",97,203,103,67,14,7
" "," ","Fredericia",1601,3428,1397,738,202,107
" "," ","Haderslev",1659,3713,1661,840,264,132
" "," ","Kolding",2445,5569,2638,1537,458,196
" "," ","Sønderborg",2250,5063,2210,1240,318,141
" "," ","Tønder",1123,2710,1102,531,197,109
" "," ","Varde",1260,3334,1549,866,275,131
" "," ","Vejen",1007,2709,1260,727,253,130
" "," ","Vejle",3092,6929,3489,2048,671,287
" "," ","Aabenraa",1719,4196,1598,919,268,119
" "," ","Favrskov",984,2984,1540,941,274,120
" "," ","Hedensted",1042,3191,1542,916,226,119
" "," ","Horsens",2431,5141,2388,1446,420,184
" "," ","Norddjurs",1194,2663,1082,541,190,104
" "," ","Odder",539,1496,721,489,124,98
" "," ","Randers",3080,5846,2690,1542,392,198
" "," ","Samsø",127,278,103,50,14,12
" "," ","Silkeborg",2308,5543,2915,1662,561,253
" "," ","Skanderborg",1234,3617,2047,1394,384,132
" "," ","Syddjurs",1113,2710,1420,827,253,131
" "," ","Aarhus",8623,13885,7821,5155,1655,1068
" "," ","Herning",2206,5314,2435,1629,449,234
" "," ","Holstebro",1456,3469,1581,902,306,151
" "," ","Ikast-Brande",1053,2578,1186,688,191,112
" "," ","Lemvig",573,1390,680,373,115,40
" "," ","Ringkøbing-Skjern",1469,3750,1616,975,321,127
" "," ","Skive",1281,3179,1258,726,200,70
" "," ","Struer",600,1373,646,307,99,35
" "," ","Viborg",2536,5811,2831,1679,510,185
" "," ","Brønderslev",971,2384,1017,630,165,78
" "," ","Frederikshavn",2010,4591,1646,823,190,104
" "," ","Hjørring",1932,4596,1887,895,277,103
" "," ","Jammerbugt",917,2611,1262,634,194,62
" "," ","Læsø",61,134,44,30,3,4
" "," ","Mariagerfjord",1244,2902,1319,741,184,67
" "," ","Morsø",644,1415,541,306,93,51
" "," ","Rebild",626,2027,915,513,139,87
" "," ","Thisted",1126,3027,1245,701,206,105
" "," ","Vesthimmerlands",1075,2556,1087,561,158,81
" "," ","Aalborg",5823,11396,5171,2753,774,360
" ","60-69 år"
" "," ","København",18308,19893,3798,1539,576,729
" "," ","Frederiksberg",3621,4412,695,194,83,88
" "," ","Dragør",368,1146,152,61,19,40
" "," ","Tårnby",1272,2908,436,114,57,84
" "," ","Albertslund",727,1426,228,96,35,65
" "," ","Ballerup",1378,2962,377,91,43,53
" "," ","Brøndby",1066,2263,335,133,64,120
" "," ","Gentofte",2279,4625,836,307,88,114
" "," ","Gladsaxe",2152,3962,572,198,62,72
" "," ","Glostrup",677,1362,145,66,28,35
" "," ","Herlev",969,1961,262,76,33,34
" "," ","Hvidovre",1475,3105,502,186,67,105
" "," ","Høje-Taastrup",1289,2888,456,167,84,106
" "," ","Ishøj",561,1196,220,74,45,72
" "," ","Lyngby-Taarbæk",1861,3546,507,153,50,51
" "," ","Rødovre",1400,2407,287,85,32,50
" "," ","Vallensbæk",303,957,120,44,29,41
" "," ","Allerød",465,1905,222,73,37,44
" "," ","Egedal",738,2785,402,144,79,89
" "," ","Fredensborg",1263,3164,457,163,47,96
" "," ","Frederikssund",1249,3506,619,217,107,121
" "," ","Furesø",932,2898,423,137,50,50
" "," ","Gribskov",1171,3519,669,253,159,184
" "," ","Halsnæs",1066,2709,472,182,95,95
" "," ","Helsingør",2310,4567,654,243,111,124
" "," ","Hillerød",1255,3299,498,168,81,133
" "," ","Hørsholm",740,1962,243,68,24,23
" "," ","Rudersdal",1459,4056,543,183,62,78
" "," ","Bornholm",1923,4177,355,83,53,48
" "," ","Christiansø",4,11,0,0,0,0
" "," ","Greve",1068,3569,476,143,76,134
" "," ","Køge",1513,3998,522,173,83,161
" "," ","Lejre",595,2284,323,138,53,101
" "," ","Roskilde",2344,5960,751,235,89,168
" "," ","Solrød",454,1682,187,67,28,21
" "," ","Faxe",1077,3227,321,106,50,84
" "," ","Guldborgsund",2572,5687,510,158,70,89
" "," ","Holbæk",2237,5712,708,216,96,122
" "," ","Kalundborg",1761,4276,444,157,53,62
" "," ","Lolland",2042,4220,386,91,45,30
" "," ","Næstved",2696,6695,781,209,102,144
" "," ","Odsherred",1423,3359,435,117,57,57
" "," ","Ringsted",951,2412,293,134,46,66
" "," ","Slagelse",2678,6053,657,190,82,109
" "," ","Sorø",939,2476,285,116,32,40
" "," ","Stevns",627,2148,266,89,52,59
" "," ","Vordingborg",2042,4325,494,139,59,61
" "," ","Assens",1206,3685,321,103,38,41
" "," ","Faaborg-Midtfyn",1551,4625,457,120,48,33
" "," ","Kerteminde",737,2188,170,47,31,15
